model,fold,auc,f1,acc,mcc,precision,recall,train_time_s,infer_time_s
Student-Classic,0,0.9236111111111112,0.7916666666666666,0.8148148148148148,0.625,0.7916666666666666,0.7916666666666666,0.1157329082489013,3.314018249511719e-05
Student-Classic,1,0.9402777777777778,0.8979591836734694,0.9074074074074074,0.8138457025666518,0.88,0.9166666666666666,0.1158027648925781,3.600120544433594e-05
Student-Classic,2,0.8,0.7083333333333334,0.7407407407407407,0.475,0.7083333333333334,0.7083333333333334,0.122697114944458,3.504753112792969e-05
Student-Classic,3,0.8458333333333334,0.7619047619047619,0.8148148148148148,0.6324555320336759,0.8888888888888888,0.6666666666666666,0.1207869052886962,3.504753112792969e-05
Student-Classic,4,0.9291666666666668,0.875,0.8888888888888888,0.775,0.875,0.875,0.1135520935058593,3.600120544433594e-05
Student-Classic-KD,0,0.9069444444444444,0.7916666666666666,0.8148148148148148,0.625,0.7916666666666666,0.7916666666666666,0.224600076675415,4.1961669921875e-05
Student-Classic-KD,1,0.9402777777777778,0.8979591836734694,0.9074074074074074,0.8138457025666518,0.88,0.9166666666666666,0.2230749130249023,4.291534423828125e-05
Student-Classic-KD,2,0.8027777777777778,0.723404255319149,0.7592592592592593,0.5108225635625352,0.7391304347826086,0.7083333333333334,0.2196488380432129,3.62396240234375e-05
Student-Classic-KD,3,0.8819444444444444,0.7272727272727273,0.7777777777777778,0.5487954724560282,0.8,0.6666666666666666,0.2141129970550537,3.504753112792969e-05
Student-Classic-KD,4,0.913888888888889,0.875,0.8888888888888888,0.775,0.875,0.875,0.2204878330230713,4.410743713378906e-05
Student-Hybrid-NoKD,0,0.9166666666666666,0.8260869565217391,0.8518518518518519,0.6994823573056137,0.8636363636363636,0.7916666666666666,230.6012830734253,0.061737060546875
Student-Hybrid-NoKD,1,0.9333333333333332,0.875,0.8888888888888888,0.775,0.875,0.875,219.13688397407532,0.0581908226013183
Student-Hybrid-NoKD,2,0.7486111111111111,0.6666666666666666,0.6851851851851852,0.3726779962499649,0.6296296296296297,0.7083333333333334,217.42798805236816,0.0648519992828369
Student-Hybrid-NoKD,3,0.8430555555555556,0.6956521739130435,0.7407407407407407,0.4719399037242694,0.7272727272727273,0.6666666666666666,219.4777328968048,0.0776629447937011
Student-Hybrid-NoKD,4,0.9263888888888888,0.8571428571428571,0.8703703703703703,0.7391047706982857,0.84,0.875,220.74640917778015,0.0606389045715332
Student-Hybrid-KD,0,0.9097222222222222,0.7659574468085106,0.7962962962962963,0.5861898270389748,0.782608695652174,0.75,218.5892288684845,0.0629162788391113
Student-Hybrid-KD,1,0.9402777777777778,0.8979591836734694,0.9074074074074074,0.8138457025666518,0.88,0.9166666666666666,217.554475069046,0.0603339672088623
Student-Hybrid-KD,2,0.7868055555555556,0.7058823529411765,0.7222222222222222,0.447213595499958,0.6666666666666666,0.75,196.17151522636416,0.0616981983184814
Student-Hybrid-KD,3,0.8777777777777779,0.7391304347826086,0.7777777777777778,0.5477873882513842,0.7727272727272727,0.7083333333333334,217.3376462459564,0.0655848979949951
Student-Hybrid-KD,4,0.9138888888888888,0.875,0.8888888888888888,0.775,0.875,0.875,220.74676775932312,0.0619442462921142
