model,fold,auc,f1,acc,mcc,precision,recall,train_time_s,infer_time_s
Student-Classic,0,0.79,0.6126126126126126,0.7207792207792207,0.3949401306169101,0.5964912280701754,0.6296296296296297,0.3171558380126953,3.719329833984375e-05
Student-Classic,1,0.8329629629629629,0.6595744680851063,0.7922077922077922,0.5267763660521029,0.775,0.5740740740740741,0.3314380645751953,4.076957702636719e-05
Student-Classic,2,0.7727777777777778,0.5961538461538461,0.7272727272727273,0.3913904281359819,0.62,0.5740740740740741,0.3169870376586914,3.910064697265625e-05
Student-Classic,3,0.7481132075471698,0.4186046511627907,0.673202614379085,0.2193716662626092,0.5454545454545454,0.3396226415094339,0.3274409770965576,3.910064697265625e-05
Student-Classic,4,0.7643396226415095,0.5892857142857143,0.6993464052287581,0.3545075720882169,0.559322033898305,0.6226415094339622,0.3198208808898926,4.124641418457031e-05
Student-Classic-KD,0,0.789074074074074,0.6126126126126126,0.7207792207792207,0.3949401306169101,0.5964912280701754,0.6296296296296297,0.6041147708892822,3.62396240234375e-05
Student-Classic-KD,1,0.8374074074074075,0.6597938144329897,0.7857142857142857,0.5133124694001006,0.7441860465116279,0.5925925925925926,0.594174861907959,4.57763671875e-05
Student-Classic-KD,2,0.7646296296296297,0.5544554455445545,0.7077922077922078,0.3404206665803463,0.5957446808510638,0.5185185185185185,0.5984079837799072,3.6716461181640625e-05
Student-Classic-KD,3,0.7328301886792452,0.4444444444444444,0.673202614379085,0.2304251617262923,0.5405405405405406,0.3773584905660377,0.5719821453094482,3.600120544433594e-05
Student-Classic-KD,4,0.7666037735849057,0.5794392523364486,0.7058823529411765,0.3533754573205077,0.5740740740740741,0.5849056603773585,0.6311769485473633,3.814697265625e-05
Student-Hybrid-NoKD,0,0.7837037037037037,0.5142857142857142,0.6688311688311688,0.2636128202832786,0.5294117647058824,0.5,739.5052711963654,0.1672267913818359
Student-Hybrid-NoKD,1,0.8287037037037036,0.7008547008547008,0.7727272727272727,0.523363606893502,0.6507936507936508,0.7592592592592593,622.1143710613251,0.1653821468353271
Student-Hybrid-NoKD,2,0.7573148148148149,0.5964912280701754,0.7012987012987013,0.3616796760596307,0.5666666666666667,0.6296296296296297,427.84772992134094,0.1648080348968505
Student-Hybrid-NoKD,3,0.7454716981132076,0.54,0.6993464052287581,0.319156762993287,0.574468085106383,0.5094339622641509,622.4826941490173,0.1632819175720214
Student-Hybrid-NoKD,4,0.7813207547169811,0.6190476190476191,0.6862745098039216,0.3771039882279841,0.5342465753424658,0.7358490566037735,621.5084931850433,0.1652836799621582
Student-Hybrid-KD,0,0.8085185185185185,0.6055045871559633,0.7207792207792207,0.3894915964481181,0.6,0.6111111111111112,625.4578738212585,0.1682159900665283
Student-Hybrid-KD,1,0.8366666666666667,0.6597938144329897,0.7857142857142857,0.5133124694001006,0.7441860465116279,0.5925925925925926,624.6989381313324,0.1687190532684326
Student-Hybrid-KD,2,0.7744444444444444,0.5567010309278351,0.7207792207792207,0.3616430137446603,0.627906976744186,0.5,624.6855099201202,0.1670598983764648
Student-Hybrid-KD,3,0.7429245283018868,0.4565217391304347,0.673202614379085,0.2360814987798754,0.5384615384615384,0.3962264150943396,588.9672861099243,0.1725921630859375
Student-Hybrid-KD,4,0.7635849056603773,0.6213592233009708,0.7450980392156863,0.4299007498233316,0.64,0.6037735849056604,622.8465859889984,0.1658089160919189
